ROI,X,Y,Z,MasterAssignment,SuggestedSystem,color,network_revised,roi_name_unique,color_updated
1,-25,-98,-12,-1,Uncertain,White,uncertain,roi_1_uncertain,white
2,27,-97,-13,-1,Uncertain,White,uncertain,roi_2_uncertain,white
3,24,32,-18,-1,Uncertain,White,uncertain,roi_3_uncertain,white
4,-56,-45,-24,-1,Uncertain,White,uncertain,roi_4_uncertain,white
5,8,41,-24,-1,Uncertain,White,uncertain,roi_5_uncertain,white
6,-21,-22,-20,-1,Uncertain,White,uncertain,roi_6_uncertain,white
7,17,-28,-17,-1,Uncertain,White,uncertain,roi_7_uncertain,white
8,-37,-29,-26,-1,Uncertain,White,uncertain,roi_8_uncertain,white
9,65,-24,-19,-1,Uncertain,White,uncertain,roi_9_uncertain,white
10,52,-34,-27,-1,Uncertain,White,uncertain,roi_10_uncertain,white
11,55,-31,-17,-1,Uncertain,White,uncertain,roi_11_uncertain,white
12,34,38,-12,-1,Uncertain,White,uncertain,roi_12_uncertain,white
13,-7,-52,61,1,Sensory/somatomotor Hand,Cyan,hand,roi_13_hand,cyan
14,-14,-18,40,1,Sensory/somatomotor Hand,Cyan,hand,roi_14_hand,cyan
15,0,-15,47,1,Sensory/somatomotor Hand,Cyan,hand,roi_15_hand,cyan
16,10,-2,45,1,Sensory/somatomotor Hand,Cyan,hand,roi_16_hand,cyan
17,-7,-21,65,1,Sensory/somatomotor Hand,Cyan,hand,roi_17_hand,cyan
18,-7,-33,72,1,Sensory/somatomotor Hand,Cyan,hand,roi_18_hand,cyan
19,13,-33,75,1,Sensory/somatomotor Hand,Cyan,hand,roi_19_hand,cyan
20,-54,-23,43,1,Sensory/somatomotor Hand,Cyan,hand,roi_20_hand,cyan
21,29,-17,71,1,Sensory/somatomotor Hand,Cyan,hand,roi_21_hand,cyan
22,10,-46,73,1,Sensory/somatomotor Hand,Cyan,hand,roi_22_hand,cyan
23,-23,-30,72,1,Sensory/somatomotor Hand,Cyan,hand,roi_23_hand,cyan
24,-40,-19,54,1,Sensory/somatomotor Hand,Cyan,hand,roi_24_hand,cyan
25,29,-39,59,1,Sensory/somatomotor Hand,Cyan,hand,roi_25_hand,cyan
26,50,-20,42,1,Sensory/somatomotor Hand,Cyan,hand,roi_26_hand,cyan
27,-38,-27,69,1,Sensory/somatomotor Hand,Cyan,hand,roi_27_hand,cyan
28,20,-29,60,1,Sensory/somatomotor Hand,Cyan,hand,roi_28_hand,cyan
29,44,-8,57,1,Sensory/somatomotor Hand,Cyan,hand,roi_29_hand,cyan
30,-29,-43,61,1,Sensory/somatomotor Hand,Cyan,hand,roi_30_hand,cyan
31,10,-17,74,1,Sensory/somatomotor Hand,Cyan,hand,roi_31_hand,cyan
32,22,-42,69,1,Sensory/somatomotor Hand,Cyan,hand,roi_32_hand,cyan
33,-45,-32,47,1,Sensory/somatomotor Hand,Cyan,hand,roi_33_hand,cyan
34,-21,-31,61,1,Sensory/somatomotor Hand,Cyan,hand,roi_34_hand,cyan
35,-13,-17,75,1,Sensory/somatomotor Hand,Cyan,hand,roi_35_hand,cyan
36,42,-20,55,1,Sensory/somatomotor Hand,Cyan,hand,roi_36_hand,cyan
37,-38,-15,69,1,Sensory/somatomotor Hand,Cyan,hand,roi_37_hand,cyan
38,-16,-46,73,1,Sensory/somatomotor Hand,Cyan,hand,roi_38_hand,cyan
39,2,-28,60,1,Sensory/somatomotor Hand,Cyan,hand,roi_39_hand,cyan
